# Annotated with Bakta
# Software: v1.9.4
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
NODE_2_length_353204_cov_26.259451	cds	275459	276724	+	LDPEMP_03370	hemY	Uncharacterized protein HemY, contains HemY_N domain and TPR repeats (unrelated to protoporphyrinogen oxidase HemY)	COG:COG3071, COG:S, RefSeq:WP_209261131.1, SO:0001217, UniParc:UPI001AD9F203, UniRef:UniRef100_UPI001AD9F203, UniRef:UniRef50_B8L3D9, UniRef:UniRef90_A0A383SSE3
NODE_2_length_353204_cov_26.259451	cds	276947	278227	-	LDPEMP_03375		3-ketoacyl-CoA thiolase	SO:0001217, UniRef:UniRef50_A0A0U5GCI7
NODE_2_length_353204_cov_26.259451	cds	278331	279215	+	LDPEMP_03380		Alkaline phosphatase	RefSeq:WP_039417480.1, SO:0001217, UniParc:UPI0002FBAE6D, UniRef:UniRef100_A0A6B3KE91, UniRef:UniRef50_A0A0S1AVP0, UniRef:UniRef90_A0A0K0GH97
NODE_2_length_353204_cov_26.259451	cds	279212	279649	+	LDPEMP_03385		Glyoxalase	RefSeq:WP_031420653.1, SO:0001217, UniParc:UPI0004DF48C9, UniRef:UniRef100_UPI0004DF48C9, UniRef:UniRef50_A0A1B8NX68, UniRef:UniRef90_A0A6B3KDH7
NODE_2_length_353204_cov_26.259451	cds	280180	280827	-	LDPEMP_03390	sodC	Cu/Zn superoxide dismutase	COG:COG2032, COG:P, RefSeq:WP_014088999.1, SO:0001217, UniParc:UPI0002266456, UniRef:UniRef100_A0A2S7EB84, UniRef:UniRef50_M5CTG1, UniRef:UniRef90_A0A0K0GFK9
NODE_2_length_353204_cov_26.259451	cds	280876	281478	-	LDPEMP_03395		Superoxide dismutase [Cu-Zn]	RefSeq:WP_011345922.1, SO:0001217, UniParc:UPI00005CE54B, UniRef:UniRef100_A0A6B3KAM6, UniRef:UniRef50_A0A8E1SYN0, UniRef:UniRef90_G7TKM0
NODE_2_length_353204_cov_26.259451	cds	281848	283275	-	LDPEMP_03400	ntrC	nitrogen regulation protein NR(I)	COG:COG2204, COG:T, KEGG:K07712, RefSeq:WP_218558727.1, SO:0001217, UniParc:UPI001C462B76, UniRef:UniRef100_UPI001C462B76, UniRef:UniRef50_A0A7Y2YWB2, UniRef:UniRef90_A0A0A6W795
NODE_2_length_353204_cov_26.259451	cds	283268	284305	-	LDPEMP_03405		histidine kinase	SO:0001217, UniRef:UniRef50_A0A4Q8M3M7
NODE_2_length_353204_cov_26.259451	cds	284588	286030	-	LDPEMP_03410	amtB	Ammonia channel protein AmtB	COG:COG0004, COG:P, RefSeq:WP_218195815.1, SO:0001217, UniParc:UPI001C47AA5F, UniRef:UniRef100_UPI001C47AA5F, UniRef:UniRef50_A0A0A6U0R4, UniRef:UniRef90_A0A0A6U0R4
NODE_2_length_353204_cov_26.259451	cds	286053	286391	-	LDPEMP_03415	glnK	Nitrogen regulatory protein PII	COG:COG0347, COG:TE, RefSeq:WP_002808480.1, SO:0001217, UniParc:UPI00005CE547, UniRef:UniRef100_W4SNP7, UniRef:UniRef50_C9YAD0, UniRef:UniRef90_W4SNP7
NODE_2_length_353204_cov_26.259451	cds	286665	288074	-	LDPEMP_03420	glnA	type I glutamate--ammonia ligase	COG:COG0174, COG:E, EC:6.3.1.2, KEGG:K01915, RefSeq:WP_003488480.1, SO:0001217, UniParc:UPI00000D79CE, UniRef:UniRef100_A0A6B3KDP4, UniRef:UniRef50_P05457, UniRef:UniRef90_A0A0E3UFQ5
NODE_2_length_353204_cov_26.259451	cds	288296	289093	+	LDPEMP_03425	uppP	undecaprenyl-diphosphate phosphatase	COG:COG1968, COG:I, EC:3.6.1.27, GO:0005886, GO:0008360, GO:0009252, GO:0016311, GO:0046677, GO:0050380, GO:0071555, RefSeq:WP_007968085.1, SO:0001217, UniParc:UPI00005CE546, UniRef:UniRef100_Q3BZ95, UniRef:UniRef50_Q9PCE0, UniRef:UniRef90_Q8PQW6
NODE_2_length_353204_cov_26.259451	cds	289334	290149	+	LDPEMP_03430		DUF4377 domain-containing protein	RefSeq:WP_218558728.1, SO:0001217, UniParc:UPI001C45B11F, UniRef:UniRef100_UPI001C45B11F, UniRef:UniRef50_A0A0Q5GQ77, UniRef:UniRef90_A0A2S7EBI4
NODE_2_length_353204_cov_26.259451	cds	290205	291215	-	LDPEMP_03435		NAD(P)-dependent alcohol dehydrogenase	RefSeq:WP_065628532.1, SO:0001217, UniParc:UPI00080DB7B0, UniRef:UniRef100_UPI00080DB7B0, UniRef:UniRef50_W0MW83, UniRef:UniRef90_A0A0A6TFU9
NODE_2_length_353204_cov_26.259451	cds	291295	291906	-	LDPEMP_03440	pEBP	Uncharacterized conserved protein, phosphatidylethanolamine-binding protein (PEBP) family	COG:COG1881, COG:R, RefSeq:WP_008571541.1, SO:0001217, UniParc:UPI0001FD5129, UniRef:UniRef100_A0A0G8XDY8, UniRef:UniRef50_A0A1T4Q5G8, UniRef:UniRef90_V7ZJ50
NODE_2_length_353204_cov_26.259451	cds	292096	294168	-	LDPEMP_03445	pilF	Type IV pilus assembly protein PilF/PilW	COG:COG3063, COG:NW, RefSeq:WP_218558729.1, SO:0001217, UniParc:UPI001C443714, UniRef:UniRef100_UPI001C443714, UniRef:UniRef50_J7VRE4, UniRef:UniRef90_A0A2S7CFP2
NODE_2_length_353204_cov_26.259451	cds	294327	294584	-	LDPEMP_03450		Transmembrane protein	SO:0001217, UniParc:UPI00005CE541, UniRef:UniRef100_A0A6B3KAK2, UniRef:UniRef50_A0A0G9BC11, UniRef:UniRef90_A0A6B3KAK2
NODE_2_length_353204_cov_26.259451	cds	294581	295570	-	LDPEMP_03455	yheT	putative hydrolase of the alpha/beta-hydrolase fold	COG:COG0429, COG:R, RefSeq:WP_011345914.1, SO:0001217, UniParc:UPI00005CE540, UniRef:UniRef100_A0A6B3KFP0, UniRef:UniRef50_G7UUY1, UniRef:UniRef90_A0A1C3NP01
NODE_2_length_353204_cov_26.259451	cds	295630	296433	-	LDPEMP_03460	plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase	COG:COG0204, COG:I, SO:0001217, UniParc:UPI0003175BE3, UniRef:UniRef100_A0A2S7EB63, UniRef:UniRef50_A0A091AR61, UniRef:UniRef90_W4SN22
NODE_2_length_353204_cov_26.259451	cds	296551	296979	-	LDPEMP_03465	paaI	Acyl-CoA thioesterase PaaI, contains HGG motif	COG:COG2050, COG:Q, RefSeq:WP_011345912.1, SO:0001217, UniParc:UPI00005CE53E, UniRef:UniRef100_A0A6B3KB96, UniRef:UniRef50_A0A0U5FGR6, UniRef:UniRef90_A0A0U5FGR6
NODE_2_length_353204_cov_26.259451	cds	297347	299365	-	LDPEMP_03470	cls	Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase	COG:COG1502, COG:I, EC:2.7.8.-, KEGG:K06132, SO:0001217, UniRef:UniRef50_J7UYC5, UniRef:UniRef90_UPI000530C0B7
NODE_2_length_353204_cov_26.259451	cds	299362	299877	-	LDPEMP_03475	yceI	YceI domain-containing protein	RefSeq:WP_011345910.1, SO:0001217, UniParc:UPI00005CE53C, UniRef:UniRef100_A0A6B3KEI1, UniRef:UniRef50_M5CIJ0, UniRef:UniRef90_A0A1Y6GQ84
NODE_2_length_353204_cov_26.259451	cds	299938	300414	-	LDPEMP_03480	sixA	Phosphohistidine phosphatase SixA	COG:COG2062, COG:T, RefSeq:WP_003488452.1, SO:0001217, UniParc:UPI00000D79C4, UniRef:UniRef100_A0A0U5FKE2, UniRef:UniRef50_A0A160N3X9, UniRef:UniRef90_A0A0U5FKE2
NODE_2_length_353204_cov_26.259451	cds	300430	301062	-	LDPEMP_03485	parA	ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ	COG:COG1192, COG:DN, RefSeq:WP_008571533.1, SO:0001217, UniParc:UPI0001FD5122, UniRef:UniRef100_A0A0G9B170, UniRef:UniRef50_A0A1Y6H1P0, UniRef:UniRef90_A0A1Y6H1P0
NODE_2_length_353204_cov_26.259451	cds	301386	302405	-	LDPEMP_03490	yfdV	putative permease, AEC (auxin efflux carrier) family	COG:COG0679, COG:R, SO:0001217, UniRef:UniRef50_D2UGS0, UniRef:UniRef90_A0A0H2X2I8
NODE_2_length_353204_cov_26.259451	cds	303137	303718	-	LDPEMP_03495		tetratricopeptide repeat protein	SO:0001217, UniRef:UniRef50_E6WP38, UniRef:UniRef90_UPI000E0EAA92
NODE_2_length_353204_cov_26.259451	cds	303968	307675	+	LDPEMP_03500	iorA	TPP-dependent indolepyruvate ferredoxin oxidoreductase, alpha subunit	COG:C, COG:COG4231, SO:0001217, UniRef:UniRef50_A0A6V7BQW1, UniRef:UniRef90_A0A6V7BQW1
NODE_2_length_353204_cov_26.259451	cds	308058	309044	-	LDPEMP_03505	egtD	L-histidine N(alpha)-methyltransferase	COG:COG4301, COG:R, RefSeq:WP_014088986.1, SO:0001217, UniParc:UPI0002266449, UniRef:UniRef100_A0A2S7EB55, UniRef:UniRef50_A0A7X0UWG8, UniRef:UniRef90_A0A0K0GFI5
NODE_2_length_353204_cov_26.259451	cds	309041	310324	-	LDPEMP_03510	egtB	ergothioneine biosynthesis protein EgtB	COG:COG1262, COG:O, EC:1.14.99.50, KEGG:K18912, RefSeq:WP_218558732.1, SO:0001217, UniParc:UPI001C441B18, UniRef:UniRef100_UPI001C441B18, UniRef:UniRef50_A0A0A0EQF6, UniRef:UniRef90_A0A1Y6H7L4
NODE_2_length_353204_cov_26.259451	cds	310396	311577	+	LDPEMP_03515		Aminotran-5 domain-containing protein	RefSeq:WP_218558733.1, SO:0001217, UniParc:UPI001C4891CF, UniRef:UniRef100_UPI001C4891CF, UniRef:UniRef50_A0A6V7BTL9, UniRef:UniRef90_D4TB76
NODE_2_length_353204_cov_26.259451	cds	311769	313241	-	LDPEMP_03520	osmF	Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein)	COG:COG1732, COG:M, RefSeq:WP_014088983.1, SO:0001217, UniParc:UPI0002266446, UniRef:UniRef100_A0A0G9CEP0, UniRef:UniRef50_A0A6V7BDI0, UniRef:UniRef90_A0A6V7BDI0
NODE_2_length_353204_cov_26.259451	cds	313238	313975	-	LDPEMP_03525	opuBA	ABC-type proline/glycine betaine transport system, ATPase component	COG:COG1125, COG:E, RefSeq:WP_011345900.1, SO:0001217, UniParc:UPI00005CE532, UniRef:UniRef100_A0A6B3KE63, UniRef:UniRef50_Q3JDN7, UniRef:UniRef90_Q5GU57
NODE_2_length_353204_cov_26.259451	cds	314024	314389	-	LDPEMP_03530		Calcium-dependent protein kinase 21	SO:0001217, UniRef:UniRef50_A0A0K3A2Y8, UniRef:UniRef90_A0A0G8XHN9
NODE_2_length_353204_cov_26.259451	cds	314409	315614	-	LDPEMP_03535	oLE1	Fatty-acid desaturase	COG:COG1398, COG:I, SO:0001217, UniRef:UniRef50_A0A091AXI5, UniRef:UniRef90_B0RLS5
NODE_2_length_353204_cov_26.259451	cds	315761	316606	+	LDPEMP_03540	modF	ABC-type molybdenum transport system, ATPase component ModF/photorepair protein PhrA	COG:COG1119, COG:P, RefSeq:WP_218558736.1, SO:0001217, UniParc:UPI001C47FF4D, UniRef:UniRef100_UPI001C47FF4D, UniRef:UniRef50_M5CT83, UniRef:UniRef90_A0A0U5FNE8
NODE_2_length_353204_cov_26.259451	cds	316805	317812	+	LDPEMP_03545	aIM24	AIM24 protein, required for mitochondrial respiration	COG:C, COG:COG2013, RefSeq:WP_218496854.1, SO:0001217, UniParc:UPI001C449B39, UniRef:UniRef100_UPI001C449B39, UniRef:UniRef50_A0A183C8B0, UniRef:UniRef90_A0A0E3YRA3
NODE_2_length_353204_cov_26.259451	cds	317841	319214	-	LDPEMP_03550		Hippurate hydrolase	SO:0001217, UniRef:UniRef50_D5VIA6, UniRef:UniRef90_A0A7W7L031
NODE_2_length_353204_cov_26.259451	cds	319389	320432	+	LDPEMP_03555	rssA	putative acylesterase/phospholipase RssA, containd patatin domain	COG:COG1752, COG:R, RefSeq:WP_218542779.1, SO:0001217, UniParc:UPI001C478639, UniRef:UniRef100_UPI001C478639, UniRef:UniRef50_A0A0G8KMZ2, UniRef:UniRef90_D4TB82
NODE_2_length_353204_cov_26.259451	cds	320838	323036	-	LDPEMP_03560		Ferripyoverdine receptor	KEGG:K16088, RefSeq:WP_218558738.1, SO:0001217, UniParc:UPI001C49795D, UniRef:UniRef100_UPI001C49795D, UniRef:UniRef50_A0A1H7YN30, UniRef:UniRef90_Q8PQZ3
NODE_2_length_353204_cov_26.259451	cds	323330	323812	-	LDPEMP_03565	lrp	DNA-binding transcriptional regulator, Lrp family	COG:COG1522, COG:K, RefSeq:WP_003490476.1, SO:0001217, UniParc:UPI00000D79B2, UniRef:UniRef100_A0A6B3KJ13, UniRef:UniRef50_A0A091AWG4, UniRef:UniRef90_A0A6V7BHF3
NODE_2_length_353204_cov_26.259451	cds	323940	324830	+	LDPEMP_03570	phhA	phenylalanine 4-monooxygenase	COG:COG3186, COG:E, RefSeq:WP_218558739.1, SO:0001217, UniParc:UPI001C441731, UniRef:UniRef100_UPI001C441731, UniRef:UniRef50_P30967, UniRef:UniRef90_D4TB85
NODE_2_length_353204_cov_26.259451	cds	324968	325612	+	LDPEMP_03575		DUF4375 domain-containing protein	RefSeq:WP_008575027.1, SO:0001217, UniParc:UPI00005CE529, UniRef:UniRef100_A0A6B3KNS8, UniRef:UniRef50_A0A0E3YSV5, UniRef:UniRef90_A0A0Q5IZ36
NODE_2_length_353204_cov_26.259451	cds	325839	326951	-	LDPEMP_03580	yesY	Putative rhamnogalacturonan acetylesterase YesY domain protein	RefSeq:WP_031420598.1, SO:0001217, UniParc:UPI0002E86D3C, UniRef:UniRef100_A0A0G9AB21, UniRef:UniRef50_A0A7Y9MUR8, UniRef:UniRef90_H8FLH1
NODE_2_length_353204_cov_26.259451	cds	327172	327834	-	LDPEMP_03585	rpiB	Ribose 5-phosphate isomerase RpiB	COG:COG0698, COG:G, RefSeq:WP_008575029.1, SO:0001217, UniParc:UPI00005CE527, UniRef:UniRef100_A0A6B3KIA1, UniRef:UniRef50_A0A085GD25, UniRef:UniRef90_A0A0U4YPG9
NODE_2_length_353204_cov_26.259451	cds	328067	328822	-	LDPEMP_03590	kduD	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD	COG:COG1028, COG:I, RefSeq:WP_218558740.1, SO:0001217, UniParc:UPI001C47645E, UniRef:UniRef100_UPI001C47645E, UniRef:UniRef50_A0A2Z4YV88, UniRef:UniRef90_A0A0U5GCF4
NODE_2_length_353204_cov_26.259451	cds	329005	329859	-	LDPEMP_03595	kduI	5-dehydro-4-deoxy-D-glucuronate isomerase	COG:COG3717, COG:G, EC:5.3.1.17, GO:0008270, GO:0008697, GO:0045490, RefSeq:WP_011345891.1, SO:0001217, UniParc:UPI00005CE525, UniRef:UniRef100_Q3BZD0, UniRef:UniRef50_Q9A873, UniRef:UniRef90_Q8PR01
NODE_2_length_353204_cov_26.259451	cds	330281	331339	-	LDPEMP_03600	purR	DNA-binding transcriptional regulator, LacI/PurR family	COG:COG1609, COG:K, RefSeq:WP_011345890.1, SO:0001217, UniParc:UPI00005CE524, UniRef:UniRef100_Q3BZD1, UniRef:UniRef50_J7VJK6, UniRef:UniRef90_Q5H6H6
NODE_2_length_353204_cov_26.259451	cds	331481	333064	-	LDPEMP_03605	xynB2	Beta-xylosidase	COG:COG3507, COG:G, RefSeq:WP_218558741.1, SO:0001217, UniParc:UPI001C47999E, UniRef:UniRef100_UPI001C47999E, UniRef:UniRef50_A0A6V7BEV5, UniRef:UniRef90_A0A6V7BEV5
NODE_2_length_353204_cov_26.259451	cds	333258	334541	-	LDPEMP_03610	dctQ	TRAP-type C4-dicarboxylate transport system, large permease component	COG:COG1593, COG:G, RefSeq:WP_008574485.1, SO:0001217, UniParc:UPI0001FD4B1B, UniRef:UniRef100_A0A0A6TY00, UniRef:UniRef50_A0A0Q4P195, UniRef:UniRef90_A0A0U5FND6
NODE_2_length_353204_cov_26.259451	cds	334541	335062	-	LDPEMP_03615		TRAP transporter small permease protein	RefSeq:WP_218558742.1, SO:0001217, UniParc:UPI001C481832, UniRef:UniRef100_UPI001C481832, UniRef:UniRef50_A0A5D4XMW4, UniRef:UniRef90_V7ZK04
NODE_2_length_353204_cov_26.259451	cds	335073	336071	-	LDPEMP_03620	dctP	TRAP-type C4-dicarboxylate transport system, periplasmic component	COG:COG1638, COG:G, RefSeq:WP_218489532.1, SO:0001217, UniParc:UPI001C495582, UniRef:UniRef100_UPI001C495582, UniRef:UniRef50_M5CT20, UniRef:UniRef90_A0A0U5FIW8
NODE_2_length_353204_cov_26.259451	cds	336109	336930	-	LDPEMP_03625	mhpD	2-keto-4-pentenoate hydratase	COG:COG3971, COG:Q, RefSeq:WP_218558743.1, SO:0001217, UniParc:UPI001C49584B, UniRef:UniRef100_UPI001C49584B, UniRef:UniRef50_B0RLC4, UniRef:UniRef90_B0RLC4
NODE_2_length_353204_cov_26.259451	cds	337069	338145	+	LDPEMP_03630		Xylanase	RefSeq:WP_031420588.1, SO:0001217, UniParc:UPI0004DF37A3, UniRef:UniRef100_UPI0004DF37A3, UniRef:UniRef50_M5CHW6, UniRef:UniRef90_Q8PR09
NODE_2_length_353204_cov_26.259451	cds	338142	339764	+	LDPEMP_03635		Carboxylic ester hydrolase	RefSeq:WP_218558744.1, SO:0001217, UniParc:UPI001C46561D, UniRef:UniRef100_UPI001C46561D, UniRef:UniRef50_A0A0Q4QM55, UniRef:UniRef90_A0A0U5BW53
NODE_2_length_353204_cov_26.259451	cds	339810	340958	-	LDPEMP_03640		D-threo-aldose 1-dehydrogenase	RefSeq:WP_218558745.1, SO:0001217, UniParc:UPI001C48C96A, UniRef:UniRef100_UPI001C48C96A, UniRef:UniRef50_W4SLY7, UniRef:UniRef90_W4SLY7
NODE_2_length_353204_cov_26.259451	cds	341027	341578	-	LDPEMP_03645		Phosphoesterase	SO:0001217, UniRef:UniRef50_A0A0U5FLA7
NODE_2_length_353204_cov_26.259451	cds	341714	343909	-	LDPEMP_03650	glgB	1,4-alpha-glucan branching protein GlgB	COG:COG0296, COG:G, EC:2.4.1.18, GO:0003844, GO:0004553, GO:0005978, GO:0043169, GO:0102752, SO:0001217, UniRef:UniRef50_Q5Z0W8, UniRef:UniRef90_Q3BZE1
NODE_2_length_353204_cov_26.259451	cds	343909	347259	-	LDPEMP_03655	treS	putative trehalose synthase	COG:COG3281, COG:G, RefSeq:WP_218550939.1, SO:0001217, UniParc:UPI001C47BF81, UniRef:UniRef100_UPI001C47BF81, UniRef:UniRef50_A0A0P9H4N7, UniRef:UniRef90_A0A6V7BSI2
NODE_2_length_353204_cov_26.259451	cds	347256	350372	-	LDPEMP_03660	amyA	Glycosidase/amylase (phosphorylase)	COG:COG0366, COG:G, RefSeq:WP_218558747.1, SO:0001217, UniParc:UPI001C495CF8, UniRef:UniRef100_UPI001C495CF8, UniRef:UniRef50_Q8PE50, UniRef:UniRef90_A0A1D9ECZ6
NODE_2_length_353204_cov_26.259451	cds	351244	351732	+	LDPEMP_03665	marR	DNA-binding MarR family transcriptional regulator	RefSeq:WP_218558748.1, SO:0001217, UniParc:UPI001C4499B8, UniRef:UniRef100_UPI001C4499B8, UniRef:UniRef50_A0A7W5MJ58, UniRef:UniRef90_A0A7W7P950
NODE_2_length_353204_cov_26.259451	cds	351740	352597	+	LDPEMP_03670		NAD(P)-bd-dom domain-containing protein	SO:0001217, UniRef:UniRef50_A0A245ZDP2, UniRef:UniRef90_Q3BZE5
NODE_3_length_284270_cov_21.570609	tmRNA	522	918	-	LDPEMP_03675	ssrA	transfer-messenger RNA, SsrA	SO:0000584
NODE_3_length_284270_cov_21.570609	cds	1054	3501	+	LDPEMP_03680		Subtilase family protein	RefSeq:WP_218558815.1, SO:0001217, UniParc:UPI001C46DC5F, UniRef:UniRef100_UPI001C46DC5F, UniRef:UniRef50_A0A0R0CPC5, UniRef:UniRef90_H8FCA0
NODE_3_length_284270_cov_21.570609	cds	3666	4169	-	LDPEMP_03685	smpB	SsrA-binding protein SmpB	COG:COG0691, COG:O, GO:0003723, GO:0005737, GO:0070929, RefSeq:WP_005913721.1, SO:0001217, UniParc:UPI00005CEA16, UniRef:UniRef100_Q3BVC6, UniRef:UniRef50_B0TY34, UniRef:UniRef90_B2SQV2
NODE_3_length_284270_cov_21.570609	cds	4230	4661	+	LDPEMP_03690	pasT	Ribosome association toxin PasT (RatA) of the RatAB toxin-antitoxin module	COG:COG2867, COG:J, RefSeq:WP_008577248.1, SO:0001217, UniParc:UPI00005CEA17, UniRef:UniRef100_A0A0G8ZD93, UniRef:UniRef50_A0A1Y5Q8E7, UniRef:UniRef90_V7ZDL2
NODE_3_length_284270_cov_21.570609	cds	4675	4950	+	LDPEMP_03695	rnfH	RnfH family protein	SO:0001217, UniRef:UniRef50_Q9PAZ9, UniRef:UniRef90_A0A0G8WRA6
NODE_3_length_284270_cov_21.570609	cds	5219	5614	-	LDPEMP_03700	bamE	Outer membrane protein assembly factor BamE	COG:COG2913, COG:M, GO:0030674, GO:0043165, GO:0051205, GO:1990063, KEGG:K06186, RefSeq:WP_008577244.1, SO:0001217, UniParc:UPI00005CEA19, UniRef:UniRef100_A0A6B3KPT9, UniRef:UniRef50_Q8PAL4, UniRef:UniRef90_Q8PAL4
NODE_3_length_284270_cov_21.570609	cds	5719	6129	+	LDPEMP_03705	fur	ferric iron uptake transcriptional regulator	COG:COG0735, COG:P, RefSeq:WP_005988392.1, SO:0001217, UniParc:UPI00000BB561, UniRef:UniRef100_A0A3E1L3W9, UniRef:UniRef50_A0A7C9VES6, UniRef:UniRef90_Q5H190
NODE_3_length_284270_cov_21.570609	cds	6321	7985	-	LDPEMP_03710	recN	DNA repair protein RecN	COG:COG0497, COG:L, RefSeq:WP_218506867.1, SO:0001217, UniParc:UPI001C481130, UniRef:UniRef100_UPI001C481130, UniRef:UniRef50_Q87BS5, UniRef:UniRef90_Q8PAL2
NODE_3_length_284270_cov_21.570609	cds	8102	9154	+	LDPEMP_03715	hrcA	heat-inducible transcriptional repressor HrcA	COG:COG1420, COG:K, GO:0003677, GO:0045892, SO:0001217, UniParc:UPI00005CEA1B, UniRef:UniRef100_Q3BVC0, UniRef:UniRef50_Q8PAL1, UniRef:UniRef90_Q8PAL1
NODE_3_length_284270_cov_21.570609	cds	9253	9771	+	LDPEMP_03720	grpE	nucleotide exchange factor GrpE	COG:COG0576, COG:O, GO:0000774, GO:0005737, GO:0006457, GO:0042803, GO:0051087, RefSeq:WP_003483633.1, SO:0001217, UniParc:UPI00000D7E50, UniRef:UniRef100_Q8PMB1, UniRef:UniRef50_Q8PAL0, UniRef:UniRef90_Q8PAL0
NODE_3_length_284270_cov_21.570609	cds	9913	11838	+	LDPEMP_03725	dnaK	molecular chaperone DnaK	COG:COG0443, COG:O, GO:0005524, GO:0051082, GO:0140662, RefSeq:WP_011346955.1, SO:0001217, UniParc:UPI00005CEA1C, UniRef:UniRef100_Q3BVB8, UniRef:UniRef50_B4SSQ6, UniRef:UniRef90_B4SSQ6
NODE_3_length_284270_cov_21.570609	cds	11999	13126	+	LDPEMP_03730	dnaJ	molecular chaperone DnaJ	COG:COG0484, COG:O, GO:0005524, GO:0005737, GO:0006260, GO:0006457, GO:0008270, GO:0009408, GO:0031072, GO:0051082, RefSeq:WP_008577236.1, SO:0001217, UniParc:UPI00005CEA1D, UniRef:UniRef100_Q3BVB7, UniRef:UniRef50_B4SSQ7, UniRef:UniRef90_Q8PMA9
NODE_3_length_284270_cov_21.570609	cds	13640	14560	+	LDPEMP_03735		pyridoxal kinase	SO:0001217, UniRef:UniRef50_A0A0A6TT53
NODE_3_length_284270_cov_21.570609	cds	14557	15678	+	LDPEMP_03740		prephenate dehydrogenase	RefSeq:WP_014089804.1, SO:0001217, UniParc:UPI0002266590, UniRef:UniRef100_A0A1S1XQG7, UniRef:UniRef50_A0A562BX29, UniRef:UniRef90_A0A0U5G7C5
NODE_3_length_284270_cov_21.570609	cds	15853	16047	-	LDPEMP_03745		Secreted protein	RefSeq:WP_008577231.1, SO:0001217, UniParc:UPI0001FD6008, UniRef:UniRef100_Q3BVB4, UniRef:UniRef50_Q3BVB4, UniRef:UniRef90_Q3BVB4
NODE_3_length_284270_cov_21.570609	cds	16494	17897	-	LDPEMP_03750	tolC	Outer membrane protein TolC	COG:COG1538, COG:M, RefSeq:WP_218558814.1, SO:0001217, UniParc:UPI001C47C0ED, UniRef:UniRef100_UPI001C47C0ED, UniRef:UniRef50_W0AA84, UniRef:UniRef90_Q3BVB3
NODE_3_length_284270_cov_21.570609	cds	17894	18979	-	LDPEMP_03755	emrA	Multidrug resistance efflux pump EmrA	COG:COG1566, COG:V, RefSeq:WP_011346960.1, SO:0001217, UniParc:UPI00005CEA22, UniRef:UniRef100_A0A6B3KN97, UniRef:UniRef50_A0A1W1YQ25, UniRef:UniRef90_A0A828YU36
NODE_3_length_284270_cov_21.570609	cds	18963	20651	-	LDPEMP_03760		Toxin secretion ABC transporter ATP-binding protein	RefSeq:WP_011346961.1, SO:0001217, UniParc:UPI00005CEA23, UniRef:UniRef100_A0A6B3KHA3, UniRef:UniRef50_A0A245ZEX9, UniRef:UniRef90_Q8PMA4
NODE_3_length_284270_cov_21.570609	cds	20741	21640	-	LDPEMP_03765	lysR	DNA-binding transcriptional regulator, LysR family	COG:COG0583, COG:K, RefSeq:WP_011346962.1, SO:0001217, UniParc:UPI00005CEA24, UniRef:UniRef100_A0A6B3KJW6, UniRef:UniRef50_A0A0U5BRX4, UniRef:UniRef90_A0A0U5BRX4
NODE_3_length_284270_cov_21.570609	cds	21882	23663	-	LDPEMP_03770	mdlB	ABC-type multidrug transport system, ATPase and permease component	COG:COG1132, COG:V, RefSeq:WP_218558813.1, SO:0001217, UniParc:UPI001C46D931, UniRef:UniRef100_UPI001C46D931, UniRef:UniRef50_A0A2N7QUJ4, UniRef:UniRef90_Q5H178
NODE_3_length_284270_cov_21.570609	cds	23660	24298	-	LDPEMP_03775		IMPACT family protein	SO:0001217, UniRef:UniRef50_B8L1W0, UniRef:UniRef90_Q5H177
NODE_3_length_284270_cov_21.570609	cds	24530	25123	-	LDPEMP_03780	ppnN	Nucleotide monophosphate nucleosidase PpnN/YdgH, Lonely Guy (LOG) family	COG:COG1611, COG:F, RefSeq:WP_218558812.1, SO:0001217, UniParc:UPI001C471914, UniRef:UniRef100_UPI001C471914, UniRef:UniRef50_A0A5E7VRF8, UniRef:UniRef90_A0A0U5FDM8
NODE_3_length_284270_cov_21.570609	cds	25337	26779	-	LDPEMP_03785	lpdA	dihydrolipoyl dehydrogenase	COG:C, COG:COG1249, RefSeq:WP_014089806.1, SO:0001217, UniParc:UPI0002266592, UniRef:UniRef100_A0A2S7EK96, UniRef:UniRef50_G8Q3B3, UniRef:UniRef90_A0A0U5FFD5
NODE_3_length_284270_cov_21.570609	cds	26891	28105	-	LDPEMP_03790	sucB	dihydrolipoyllysine-residue succinyltransferase	COG:C, COG:COG0508, RefSeq:WP_029819101.1, SO:0001217, UniParc:UPI0004A2F13C, UniRef:UniRef100_A0A3G2W758, UniRef:UniRef50_A0A437LBY1, UniRef:UniRef90_A0A1Y6H5Z0
NODE_3_length_284270_cov_21.570609	cds	28148	30976	-	LDPEMP_03795	sucA	2-oxoglutarate dehydrogenase E1 component	COG:C, COG:COG0567, SO:0001217, UniRef:UniRef50_A0A1E2UV91, UniRef:UniRef90_Q8PM97
